Comment,Designator,Footprint,LCSC Part #
0.47R,R9,R0402,C469327
1M,R4,R0402,
1k,R5,R0402,
1uF/50V,C9 C10 C11 C16,C0402,
2.55R,R12,R0402,C477655
2k,R11,R0402,
3.3k,R10,R0402,
4.7k,R13 R14 R19,R0402,
4.7uF,C5,C0603,C108344
4.7uF/25V,C3 C8 C12 C13 C14 C15,C0402,
4.7uF/25V,C20,C0603,
5.1k,R15 R16,R0402,
10k,R1 R2 R3 R8 R17,R0402,
10uF,C7 C22,C0603,
10uF/25V,C21,C0603,
10uH/1A,L1,SMNR4020,C497803
22uF,C4 C17 C18 C19 C23 C26,C0603,
47uF,C2,C0603,C178330
100k,R18,R0402,
100n,C27 C28,C0402,
100nF,C1,C0603,
100nF,C6,C0402K,
100nF,C24,C0402,
AFC24-S24FIC-00,J5,FFC2B2824G,C262292
AO3401,Q5,SOT23,
AP2191WG-7,IC1,SOT25,C141321
BAT60B,D1 D2 D3,SOD323-R,
CH9102F,IC3,QFN24-4X4,
DSHP02TS-S,DISP,DSHP02TSS,C319052
EN button,RESET,1TS003B16003500A,C455280
ESP32-S3-WROOM-1-N16,IC5,ESP32S3WROOM1N16,
HT7833,LDO,SOT23-5,C164106
JST-PH-2_SMD/90SMD,BATTERY,S2B-PH-SM4,C47647
JST-SH-4P,J2,1X04_1MM_RA,
LESD5D5.0CT1G,D8 D9 D10,LESD5D50CT1G,
MAX17048,U2,TDFN-8,C2682616
MBR0530,D4 D5 D6,SOD123-F,
ME6211C33M5G,IC4,SOT23-5,
MMDT3904,Q1,SC70-6,C268586
POLIFUSE0500805L,F1 F2,0805L,C66452
RED,CHARGING,CHIP-LED0603,C241893
Si1308EDL,Q4,SOT65P210X110-3N,C20917
TP4065-42-SOT25-R,IC2,SOT95P280X125-5N,
USB-C_2-16PIN,J4,USBC_USB-C-16P-5,C2837092
USUP_SPI_CONNECTOR_VERT,J3,1X06_1MM_RA_VERT,C145963
